SUI_Endurance_test2 r/R 0.4949
   0.76501   0.00771
   0.77663   0.00716
   0.78824   0.00659
   0.79984   0.00599
   0.81145   0.00538
   0.82306   0.00475
   0.83467   0.00409
   0.84627   0.00338
   0.85787   0.00264
   0.86947   0.00186
   0.88106   0.00104
   0.89265   0.00019
   0.90424  -0.00071
   0.91583  -0.00163
   0.92742  -0.00260
   0.93900  -0.00360
   0.95058  -0.00463
   0.96215  -0.00572
   0.97372  -0.00683
   0.98530  -0.00778
   1.00000  -0.00834
